;n;accuracy
0;1;0.7493877551020407
1;3;0.7336734693877551
2;5;0.7248979591836735
3;7;0.7185714285714286
4;9;0.7148979591836734
5;11;0.7055102040816327
6;13;0.6908163265306122
7;15;0.69
8;17;0.6861224489795917
9;19;0.6816326530612246
10;21;0.6751020408163265
11;23;0.6693877551020408
12;25;0.6685714285714285
13;27;0.6632653061224489
14;29;0.6624489795918367
15;31;0.6604081632653062
16;33;0.6593877551020408
17;35;0.656734693877551
18;37;0.6573469387755102
19;39;0.6569387755102041
20;41;0.6551020408163265
21;43;0.6516326530612245
22;45;0.6506122448979592
23;47;0.6485714285714286
24;49;0.6465306122448979
25;51;0.643673469387755
26;53;0.6424489795918367
